thread_id,model_key,dify_conversation_id,updated_at
3dfa53cec91b42a4ba5192a37a9d87b9,genka,146f5e55-4fd0-49ba-ae90-241d7bf028a3,2026-02-07T23:09:23
3dfa53cec91b42a4ba5192a37a9d87b9,seisan,bbf4244d-4804-44d7-8aa7-1f75530cd73f,2026-02-07T23:09:59
3a8b9dc1d70d453588e9b366c377d200,seisan,3afb87ef-616f-4323-bada-6cc634180890,2026-02-07T23:30:37
